	coffee_in_cafe	cost_beer	cost_coworking	cost_expat	cost_nomad	female_friendly	fragile_states_index	free_wifi_available	freedom_score	friendly_to_foreigners	internet_speed	latitude	leisure	lgbt_friendly	life_score	longitude	nightlife	nomadScore	nomad_score	peace_score	place	places_to_work	press_freedom_index	racism	safety	weed
110	1.46	1.46	233.07	1152	1870	0.4	65.3	0.4	0.4	0.82	12	-19.9166813	0.42	0.6	0.73	-43.9344931	0.6	0.78	0.78	0.6	Belo Horizonte	0.8	32.62	0.8	0.48	0
111	2.99	2.99	281.82	1463	1966	1.0	36.1	1.0	0.6	0.96	99	33.4924276	0.8	0.64	0.84	126.5201336	0.6	0.78	0.78	0.8	Jeju Island	0.4	28.58	0.45	1.0	0
112	5.0	5.0	400.0	2616	3159	0.8	34	1.0	0.6	1.0	33	40.7607793	0.62	0.8	0.87	-111.8910474	0.6	0.78	0.78	0.8	Salt Lake City	0.8	22.49	0.8	0.8	0
113	2.58	2.58	89.37	1266	2081	1.0	23.8	0.6	0.8	0.8	0	46.8032826	0.6	1.0	0.82	-71.242796	0.4	0.78	0.78	1	Quebec City	0.8	15.26	1.0	0.8	0
114	4.37	4.37	311.88	2555	2687	1.0	32.4	0.6	0.6	0.8	0	52.9547832	0.6	0.8	0.83	-1.1581086	0.8	0.78	0.78	0.8	Nottingham	0.8	21.7	1.0	0.6	0
115	2.38	2.38	212.16	3359	3765	1.0	32.9	0.6	0.2	0.62	55	1.2800945	0.8	0.4	0.86	103.8509491	1.0	0.78	0.78	0.8	Singapore	0.6	52.96	0.8	1.0	0
116	2.43	2.43	121.7	1213	2128	0.4	40.7	0.6	0.6	0.8	21	52.2296756	1.0	0.42	0.8	21.0122287	1.0	0.78	0.78	0.8	Warsaw	0.8	23.89	0.4	0.62	0
117	6.24	6.24	249.5	3569	3020	0.8	32.4	0.44	0.6	0.8	14	51.5073509	1.0	0.82	0.82	-0.1277583	1.0	0.78	0.78	0.8	London	0.8	21.7	1.0	0.6	0
118	2.69	2.69	76.35	1219	1519	0.6	47.4	0.6	0.8	0.6	28	56.9707259	0.6	0.6	0.75	24.1298491	0.44	0.78	0.78	0.8	Riga	0.8	17.38	0.0	0.6	0
119	7.55	7.55	290.54	2827	3135	1.0	22.5	0.2	0.8	0.8	7	-27.4710107	0.6	0.8	0.83	153.0234489	0.6	0.78	0.78	1	Brisbane	0.8	17.84	0.8	1.0	0
120	3.32	3.32	221.57	2010	2596	1.0	23.8	0.6	0.8	0.8	0	44.6488625	0.6	0.6	0.82	-63.5753196	0.4	0.77	0.77	1	Halifax	0.8	15.26	1.0	0.6	0
121	5.0	5.0	21.0	3221	2564	0.8	34	0.8	0.6	0.8	23	35.2030728	0.8	0.8	0.85	-80.9796106	0.8	0.77	0.77	0.8	Charlotte	0.4	22.49	0.6	1.0	0
122	5.0	5.0	350.0	3089	4217	0.8	34	0.6	0.6	1.0	61	40.0149856	0.8	0.8	0.93	-105.2705456	0.8	0.77	0.77	0.8	Boulder	0.8	22.49	0.8	0.8	1
123	1.08	1.08	129.04	1393	2054	1.0	43.4	1.0	0.8	1.0	13	59.4369608	0.62	0.8	0.8	24.7535746	0.8	0.77	0.77	0.8	Tallinn	0.8	14.31	1.0	0.8	0
124	5.31	5.31	88.48	1580	2327	0.8	36.2	0.4	0.8	0.6	7	-34.883611	0.6	0.93	0.79	-56.181944	0.4	0.77	0.77	0.8	Montevideo	0.8	15.88	0.8	0.6	1
125	7.5	7.5	35.0	2464	3281	0.8	34	0.6	0.6	1.0	18	48.74908	0.6	0.8	0.83	-122.4781473	0.4	0.77	0.77	0.8	Bellingham	0.8	22.49	0.8	0.8	0
126	1.93	1.93	266.01	1418	1510	0.6	70.4	0.4	0.2	0.8	0	19.4326077	0.8	0.6	0.72	-99.133208	1.0	0.77	0.77	0.6	Mexico City	0.8	49.33	0.0	0.42	0
127	4.53	4.53	565.99	3888	2986	0.8	22.5	0.2	0.8	1.0	20	-28.0172605	1.0	0.8	0.83	153.4256987	0.6	0.77	0.77	1	Gold Coast	0.4	17.84	0.8	0.6	0
128	6.62	6.62	92.52	2092	2170	0.8	35.1	0.6	0.6	0.8	15	35.1680298	0.8	0.6	0.83	136.8415599	0.6	0.77	0.77	0.8	Nagoya	1.0	28.67	0.6	1.0	0
129	3.7	3.7	92.52	1728	2127	0.8	35.1	1.0	0.6	0.8	10	34.6937378	0.6	0.6	0.81	135.5021651	0.8	0.77	0.77	0.8	Osaka	0.8	28.67	0.6	1.0	0
130	1.41	1.41	135.65	1016	812	1.0	78.8	0.2	0.2	0.8	15	7.6556	0.62	0.8	0.73	99.0419	0.43	0.77	0.77	0.4	Ko Lanta	0.4	44.53	0.4	0.8	0
131	6.0	6.0	199.0	4134	4306	1.0	34	0.6	0.6	1.0	6	21.3069444	1.0	0.8	0.88	-157.8583333	0.8	0.77	0.77	0.8	Honolulu	0.8	22.49	0.8	1.0	1
132	2.42	2.42	116.26	1232	1120	0.2	75.5	0.6	0.4	0.6	16	50.4501	0.62	0.2	0.64	30.5234	0.6	0.77	0.77	0.4	Kiev	1.0	32.93	0.38	0.4	0
133	2.58	2.58	349.25	2029	2855	0.6	DotMap()	0.6	DotMap()	0.6	23	22.2076589	1.0	0.4	0.81	113.5499505	0.6	0.77	0.77	DotMap()	Macau	0.4	DotMap()	0.0	0.6	0
134	5.05	5.05	35.0	2076	2597	0.8	34	0.8	0.6	0.8	23	39.1362562	0.8	0.6	0.84	-84.6804857	0.8	0.77	0.77	0.8	Cincinnati	0.8	22.49	0.6	1.0	1
135	3.69	3.69	88.63	1760	2472	1.0	23.8	0.6	0.8	1.0	0	45.4215296	0.6	0.4	0.84	-75.6971931	0.4	0.77	0.77	1	Ottawa	0.8	15.26	1.0	1.0	0
136	5.0	5.0	500.0	2774	3535	0.8	34	0.6	0.6	1.0	52	39.9611755	0.6	0.64	0.83	-82.9987942	0.6	0.77	0.77	0.8	Columbus	0.8	22.49	0.8	0.8	1
137	4.37	4.37	99.8	2769	3238	1.0	32.4	0.4	0.6	0.8	0	55.953252	0.6	0.8	0.84	-3.188267	1.0	0.77	0.77	0.8	Edinburgh	0.8	21.7	1.0	1.0	0
138	7.11	7.11	60.39	2816	2810	0.8	21.3	0.2	0.8	0.8	7	-36.8484597	0.6	1.0	0.82	174.7633315	0.6	0.77	0.77	1	Auckland	0.8	10.01	1.0	1.0	0
139	3.23	3.23	215.07	1394	1964	0.8	29.2	0.4	0.8	1.0	20	40.6405055	0.95	0.62	0.8	-8.6537539	0.58	0.76	0.76	1	Aveiro	0.4	17.27	0.6	0.82	0
140	3.77	3.77	237.72	1944	2248	1.0	22.5	1.0	0.8	1.0	30	-42.8819032	1.0	0.8	0.88	147.3238148	0.6	0.76	0.76	1	Hobart	0.4	17.84	0.8	0.8	0
141	1.75	1.75	142.21	809	1206	0.4	67	0.0	0.4	0.6	15	41.9973462	0.6	0.4	0.69	21.4279956	0.4	0.76	0.76	0.6	Skopje	0.8	36.09	0.0	0.6	0
142	4.0	4.0	366.0	2230	2590	1.0	34	0.8	0.6	0.8	70	29.651634	0.6	0.62	0.83	-82.324829	0.6	0.76	0.76	0.8	Gainesville	0.4	22.49	0.76	0.8	0
143	6.62	6.62	92.52	1684	2258	0.8	35.1	0.6	0.6	0.8	27	34.39383	0.6	0.6	0.82	132.3716599	0.8	0.76	0.76	0.8	Hiroshima	0.4	28.67	0.6	0.8	0
144	2.92	2.92	145.84	1687	2147	1.0	74.9	0.8	0.2	1.0	6	31.230416	1.0	0.38	0.76	121.473701	0.96	0.76	0.76	0.6	Shanghai	0.8	80.96	0.8	0.82	0
145	4.37	4.37	248.26	2894	3273	0.0	32.4	0.8	0.6	0.8	0	50.82253	0.6	0.8	0.84	-0.137163	0.8	0.76	0.76	0.8	Brighton	0.8	21.7	1.0	0.8	0
146	1.52	1.52	77.34	1080	1275	0.6	70.4	1.0	0.2	0.8	0	21.161908	1.0	0.4	0.76	-86.8515279	1.0	0.76	0.76	0.6	Cancun	0.4	49.33	0.0	0.8	0
147	4.63	4.63	616.1	2752	2908	0.8	34	0.8	0.6	1.0	27	30.4413992	1.0	1.0	0.88	-91.2487482	1.0	0.76	0.76	0.8	Baton Rouge	0.8	22.49	0.6	0.8	0
148	5.24	5.24	92.52	2160	2062	0.6	35.1	0.8	0.6	0.6	12	35.4619298	0.8	0.4	0.81	139.5492099	0.6	0.76	0.76	0.8	Yokohama	0.4	28.67	0.6	1.0	0
149	4.37	4.37	324.36	3268	2874	0.8	32.4	0.4	0.6	1.0	0	52.205337	0.4	0.8	0.82	0.121817	0.4	0.76	0.76	0.8	Cambridge	0.8	21.7	1.0	1.0	0
150	2.43	2.43	121.7	1502	2478	0.42	40.7	0.6	0.6	0.8	30	51.1078852	0.6	0.4	0.77	17.0385376	0.6	0.76	0.76	0.8	Wrocław	0.8	23.89	0.4	0.6	0
151	5.38	5.38	161.3	3179	3292	0.6	22.5	0.4	0.8	0.6	31	53.3498053	0.62	0.8	0.83	-6.2603097	1.0	0.76	0.76	1	Dublin	0.8	12.4	1.0	0.96	0
152	8.6	8.6	268.83	2256	3500	0.6	43.1	0.2	0.6	0.8	29	45.070312	0.8	0.2	0.79	7.6868565	0.4	0.76	0.76	0.8	Turin	0.8	28.93	0.4	0.8	0
153	4.0	4.0	150.0	1883	2489	0.8	34	1.0	0.6	1.0	28	39.7284944	0.6	0.8	0.84	-121.8374777	1.0	0.76	0.76	0.8	Chico	0.4	22.49	0.8	0.8	1
154	4.06	4.06	240.03	2067	3061	1.0	23.8	1.0	0.8	1.0	0	48.4284207	0.4	1.0	0.83	-123.3656444	0.6	0.76	0.76	1	Victoria	0.8	15.26	1.0	1.0	0
155	3.63	3.63	21.35	1317	1725	0.8	36.1	1.0	0.6	0.8	37	36.3730796	0.6	0.4	0.82	127.3187599	0.6	0.76	0.76	0.8	Daejeon	1.0	28.58	0.6	1.0	0
156	5.66	5.66	301.86	4849	2895	0.8	22.5	0.6	0.8	1.0	18	-33.8674869	0.98	1.0	0.8	151.2069902	0.4	0.76	0.76	1	Sydney	0.8	17.84	0.8	0.8	0
