	coffee_in_cafe	cost_beer	cost_coworking	cost_expat	cost_nomad	female_friendly	fragile_states_index	free_wifi_available	freedom_score	friendly_to_foreigners	internet_speed	latitude	leisure	lgbt_friendly	life_score	longitude	nightlife	nomadScore	nomad_score	peace_score	place	places_to_work	press_freedom_index	racism	safety	weed
204	0.75	0.75	5.61	2971	1488	0.4	74.9	0.4	0.2	0.8	0	-8.7262899	0.6	0.2	0.72	115.13657	0.4	0.74	0.74	0.6	Kuta	0.8	41.72	0.4	0.6	0
205	1.41	1.41	195.38	1119	1134	0.6	78.8	0.6	0.2	1.0	12	19.8758052	0.8	0.4	0.76	99.7388804	0.8	0.74	0.74	0.4	Chiang Rai	0.6	44.53	0.6	0.6	0
206	1.57	1.57	219.39	1010	1456	0.8	DotMap()	1.0	0.6	0.6	7	24.1477358	0.4	0.6	0.77	120.6736482	0.4	0.74	0.74	DotMap()	Taichung	0.6	24.37	0.0	0.8	0
207	5.66	5.66	415.06	3285	2934	1.0	22.5	0.2	0.8	0.8	6	-37.814107	0.8	0.8	0.8	144.96328	0.8	0.74	0.74	1	Melbourne	0.6	17.84	0.8	0.82	0
208	2.78	2.78	508.87	2934	2541	0.8	35.1	0.4	0.6	0.8	1	35.6894875	1.0	0.6	0.89	139.6917064	1.0	0.74	0.74	0.8	Tokyo	1.0	28.67	0.2	1.0	0
209	0.97	0.97	78.64	1101	1290	0.6	70.4	0.4	0.2	0.6	7	32.5149469	1.0	0.6	0.66	-117.0382471	1.0	0.73	0.73	0.6	Tijuana	0.4	49.33	0.0	0.4	0
210	3.23	3.23	21.35	1628	1486	0.8	36.1	1.0	0.6	0.8	27	35.1766194	0.6	0.4	0.82	126.7037153	0.6	0.73	0.73	0.8	Gwangju	1.0	28.58	0.6	1.0	0
211	5.38	5.38	161.3	2256	2956	0.6	22.5	0.4	0.8	0.8	17	51.8968917	0.8	0.8	0.81	-8.4863157	0.6	0.73	0.73	1	Cork	0.4	12.4	1.0	1.0	0
212	5.38	5.38	268.83	2063	2841	0.0	28.2	0.8	1	0.8	36	51.85	0.6	0.6	0.8	5.8667	0.6	0.73	0.73	1	Nijmegen	0.4	8.76	0.8	0.8	1
213	5.38	5.38	145.17	3417	3542	0.8	39.8	0.8	0.8	0.8	0	39.5696005	1.0	1.0	0.83	2.6501603	1.0	0.73	0.73	0.8	Palma De Mallorca	0.8	19.92	0.4	0.8	1
214	3.27	3.27	15.38	991	2290	0.6	48.4	0.2	0.6	1.0	5	-34.92125	1.0	0.8	0.74	-57.9543333	1.0	0.73	0.73	0.8	La Plata	0.4	25.09	0.8	0.4	0
215	5.0	5.0	500.0	3553	4183	0.8	34	1.0	0.6	1.0	55	40.6460622	0.6	0.6	0.88	-111.4979729	1.0	0.73	0.73	0.8	Park City	0.8	22.49	0.8	0.8	0
216	4.3	4.3	387.12	1855	2484	1.0	28.6	0.6	0.8	0.8	20	53.0792962	0.6	1.0	0.81	8.8016937	1.0	0.73	0.73	1	Bremen	0.8	14.8	0.8	1.0	0
217	4.37	4.37	355.77	2456	2984	1.0	22.6	0.8	0.8	1.0	35	57.70887	1.0	0.8	0.87	11.97456	1.0	0.73	0.73	1	Gothenburg	0.8	12.33	0.8	0.8	0
218	2.69	2.69	107.53	1054	1656	0.8	55.9	0.6	0.4	0.8	0	40.6400629	0.6	0.8	0.75	22.9444191	1.0	0.73	0.73	0.8	Thessaloniki	0.4	30.35	0.4	0.8	0
219	5.38	5.38	258.08	3767	3314	0.8	28.2	0.8	1	0.98	10	52.3702157	0.8	1.0	0.8	4.8951679	1.0	0.73	0.73	1	Amsterdam	0.8	8.76	0.8	0.8	1
220	5.38	5.38	436.86	1973	2765	0.6	39.8	0.6	0.8	0.8	23	38.3459963	0.8	0.6	0.84	-0.4906855	1.0	0.73	0.73	0.8	Alicante	0.6	19.92	0.45	0.8	1
221	4.0	4.0	150.0	2100	2586	1.0	34	1.0	0.6	0.8	20	30.3321838	0.8	0.6	0.83	-81.655651	0.6	0.73	0.73	0.8	Jacksonville	0.4	22.49	0.8	0.6	0
222	1.61	1.61	149.47	1120	1487	0.8	44.9	0.4	0.8	0.6	32	48.1458923	0.6	0.4	0.75	17.1071373	0.6	0.73	0.73	0.8	Bratislava	0.6	13.26	0.0	0.8	0
223	2.36	2.36	25.0	676	1542	0.75	77.3	0.75	0.2	0.75	12	36.9914	0.75	0.2	0.71	35.3308	0.6	0.73	0.73	0.4	Adana	0.6	50.76	0.56	0.93	0
224	5.0	5.0	350.0	2665	2959	0.8	34	0.6	0.6	1.0	61	46.8771863	0.6	0.6	0.81	-96.7898034	0.6	0.73	0.73	0.8	Fargo	0.4	22.49	0.8	0.8	0
225	4.5	4.5	39.0	1862	2421	1.0	34	1.0	0.6	1.0	35	36.7468422	0.4	0.8	0.84	-119.7725868	1.0	0.73	0.73	0.8	Fresno	0.4	22.49	0.8	0.8	1
226	3.76	3.76	305.67	2065	3086	1.0	18.8	1.0	1	0.8	32	61.4981508	0.8	0.8	0.83	23.7610254	0.8	0.73	0.73	1	Tampere	0.8	8.59	0.8	1.0	0
227	5.91	5.91	481.75	1980	2951	0.8	64	0.4	0.8	0.4	20	35.166667	0.8	0.6	0.71	33.366667	0.8	0.73	0.73	0.6	Nicosia	0.4	18.26	0.6	0.6	0
228	3.62	3.62	451.95	1782	2373	0.6	45.1	0.8	0.8	0.8	5	9.658333	1.0	0.8	0.77	-82.752778	0.6	0.73	0.73	0.8	Puerto Viejo	0.4	11.1	0.8	0.6	0
229	1.81	1.81	116.08	889	2041	0.6	70.4	0.4	0.2	1.0	11	25.6866142	0.6	0.4	0.72	-100.3161126	0.6	0.73	0.73	0.6	Monterrey	0.6	49.33	0.0	0.6	0
230	1.45	1.45	118.01	818	1716	0.6	70.4	0.6	0.2	1.0	0	20.5887932	0.8	0.6	0.72	-100.3898881	0.76	0.73	0.73	0.6	Queretaro	0.4	49.33	0.0	0.8	0
231	5.0	5.0	215.0	2405	3386	0.8	34	0.4	0.6	0.8	28	39.165325	0.6	0.8	0.81	-86.5263857	0.6	0.73	0.73	0.8	Bloomington	0.4	22.49	0.8	0.8	0
232	5.54	5.54	350.08	2454	3170	1.0	23.8	0.8	0.8	1.0	0	43.45	1.0	1.0	0.84	-80.483333	0.4	0.73	0.73	1	Kitchener	0.4	15.26	1.0	1.0	0
233	6.45	6.45	215.07	1784	2827	0.8	34.5	1.0	0.6	0.8	27	45.188529	0.6	0.8	0.8	5.724524	1.0	0.73	0.73	0.8	Grenoble	0.4	23.83	0.6	0.6	0
234	1.07	1.07	87.36	939	1916	0.8	52.4	0.8	0.6	0.8	45	44.119371	0.4	0.42	0.75	15.2313648	0.4	0.73	0.73	0.8	Zadar	0.8	27.91	0.4	0.8	0
235	1.61	1.61	129.04	1624	3073	0.8	39.8	0.4	0.8	0.8	10	28.7315	1.0	0.82	0.81	-13.8688	0.44	0.73	0.73	0.8	Corralejo	0.8	19.92	0.62	1.0	1
236	7.5	7.5	295.0	3150	3943	0.6	34	0.8	0.6	0.6	17	39.2903848	0.6	0.38	0.75	-76.6121893	0.6	0.73	0.73	0.8	Baltimore	0.8	22.49	0.4	0.4	1
237	1.61	1.61	129.04	1079	1565	0.8	44.9	0.6	0.8	0.6	12	48.7210053	0.8	0.2	0.74	21.2577999	0.4	0.73	0.73	0.8	Kosice	0.4	13.26	0.0	0.6	0
238	4.84	4.84	182.81	1663	2383	0.8	39.8	0.6	0.8	0.8	0	43.3623436	0.6	0.4	0.79	-8.4115401	0.6	0.73	0.73	0.8	A Coruna	0.4	19.92	0.4	0.8	1
239	4.0	4.0	401.38	2186	2593	0.6	34	0.8	0.6	0.6	26	37.6986795	0.6	0.6	0.81	-97.6241447	0.6	0.73	0.73	0.8	Wichita	0.6	22.49	0.6	0.8	0
240	2.56	2.56	119.27	1148	2198	0.8	40.7	0.8	0.6	0.6	27	53.4285438	0.42	0.6	0.76	14.5528116	0.6	0.73	0.73	0.8	Szczecin	0.4	23.89	0.4	0.8	0
241	2.62	2.62	131.1	1075	1988	0.4	65.3	0.4	0.4	0.8	8	-25.4200388	0.6	0.6	0.68	-49.2650973	1.0	0.73	0.73	0.6	Curitiba	0.8	32.62	0.8	0.6	0
242	5.32	5.32	212.69	2776	3139	0.8	21.2	0.6	1	0.8	15	63.4305149	0.8	0.6	0.82	10.3950528	0.8	0.73	0.73	1	Trondheim	0.4	8.79	0.8	1.0	0
243	3.23	3.23	102.16	1314	1908	0.6	33.9	0.6	0.6	1.0	14	46.0569465	0.6	0.6	0.79	14.5057515	0.8	0.73	0.73	0.8	Ljubljana	0.8	22.26	0.0	0.8	0
244	5.0	5.0	100.0	2371	3316	0.6	34	0.0	0.6	0.6	30	41.49932	0.6	0.6	0.79	-81.6943605	0.8	0.73	0.73	0.8	Cleveland	0.4	22.49	0.8	0.6	1
245	1.83	1.83	121.7	1108	1929	0.8	40.7	0.44	0.6	0.6	25	51.2464536	0.6	0.6	0.76	22.5684463	0.6	0.73	0.73	0.8	Lublin	0.4	23.89	0.4	1.0	0
246	4.3	4.3	268.83	1783	2218	1.0	28.6	0.2	0.8	0.8	21	50.927054	0.6	1.0	0.8	11.5892372	1.0	0.73	0.73	1	Jena	0.4	14.8	0.8	1.0	0
247	6.0	6.0	250.0	2765	2618	0.6	34	0.6	0.6	1.0	16	18.3848264	0.6	0.8	0.78	-66.0583415	1.0	0.73	0.73	0.8	San Juan	0.4	22.49	0.8	0.8	0
248	1.21	1.21	98.38	1412	1611	0.62	70.4	0.6	0.2	1.0	0	20.653407	0.8	0.8	0.74	-105.2253316	1.0	0.73	0.73	0.6	Puerto Vallarta	0.4	49.33	0.0	0.82	0
249	1.54	1.54	123.08	1051	2152	0.6	48.4	0.4	0.6	0.6	12	-37.9798584	0.8	0.8	0.69	-57.5897942	0.4	0.73	0.73	0.8	Mar del Plata	0.4	25.09	0.8	0.4	0
250	3.32	3.32	147.71	1797	2060	1.0	23.8	0.8	0.8	1.0	0	43.8970929	0.6	1.0	0.8	-78.8657912	0.6	0.72	0.72	1	Oshawa	0.4	15.26	1.0	1.0	0
251	4.3	4.3	127.96	1808	2342	0.8	43.1	0.6	0.6	1.0	12	44.4056499	0.8	1.0	0.77	8.946256	1.0	0.72	0.72	0.8	Genoa	0.4	28.93	0.45	0.8	0
252	1.57	1.57	95.59	835	1160	1.0	DotMap()	1.0	0.6	1.0	9	22.6272784	0.6	0.8	0.82	120.3014353	0.6	0.72	0.72	DotMap()	Kaohsiung	0.4	24.37	0.0	1.0	0
253	2.75	2.75	148.59	1096	2037	0.6	53.7	1.0	0.4	0.8	20	42.6977082	0.6	0.2	0.71	23.3218675	0.8	0.72	0.72	0.8	Sofia	0.8	34.46	0.4	0.6	0
254	4.0	4.0	486.78	4988	4499	0.8	34	0.8	0.6	0.8	27	24.5646035	1.0	0.8	0.87	-81.8152815	1.0	0.72	0.72	0.8	Key West	0.8	22.49	0.6	0.8	0
255	6.62	6.62	92.52	2245	2216	0.8	35.1	0.4	0.6	0.6	13	26.2112223	0.6	0.6	0.8	127.6176341	0.4	0.72	0.72	0.8	Naha	1.0	28.67	0.6	1.0	0
256	4.3	4.3	168.83	1718	2371	0.8	39.8	0.4	0.8	1.0	0	36.721261	0.64	0.4	0.78	-4.4212655	0.64	0.72	0.72	0.8	Malaga	0.4	19.92	0.45	0.8	1
257	0.0	0.0	251.44	1921	1398	0.8	DotMap()	0.8	0.6	0.6	5	23.1503761	0.8	0.6	0.79	120.0656768	0.6	0.72	0.72	DotMap()	Tainan	0.6	24.37	0.6	0.8	0
258	1.08	1.08	129.04	1049	1779	1.0	43.4	1.0	0.8	1.0	24	58.3776252	0.4	0.8	0.76	26.7290063	0.4	0.72	0.72	0.8	Tartu	0.4	14.31	1.0	1.0	0
259	8.06	8.06	645.2	3384	3972	0.6	43.1	0.2	0.6	0.8	10	41.8723889	1.0	0.2	0.76	12.4801802	0.6	0.72	0.72	0.8	Rome	0.8	28.93	0.4	0.6	0
260	8.31	8.31	296.9	3192	3605	1.0	23.8	0.8	0.8	1.0	0	49.69349	1.0	1.0	0.84	-112.84184	0.79	0.72	0.72	1	Lethbridge	0.82	15.26	1.0	1.0	0
261	5.0	5.0	200.0	2969	3191	0.8	34	0.6	0.6	0.8	52	41.5048158	0.6	0.8	0.8	-73.9695832	0.4	0.72	0.72	0.8	Beacon	0.4	22.49	0.8	0.8	0
262	5.54	5.54	274.74	2172	3258	1.0	23.8	0.8	0.8	1.0	0	49.8879519	1.0	0.8	0.84	-119.4960106	0.6	0.72	0.72	1	Kelowna	0.4	15.26	1.0	1.0	0
263	6.24	6.24	249.5	2488	3881	0.8	DotMap()	0.4	DotMap()	0.8	19	36.1407734	0.6	0.44	0.79	-5.3535994	0.6	0.72	0.72	DotMap()	Gibraltar	0.6	DotMap()	0.6	0.6	0
264	0.78	0.78	62.01	705	543	0.2	75.5	0.6	0.4	1.0	13	49.839683	0.6	0.2	0.62	24.029717	0.4	0.72	0.72	0.4	Lviv	0.8	32.93	0.4	0.4	0
265	5.0	5.0	450.0	2934	3498	1.0	34	0.8	0.6	0.8	29	42.2808256	0.4	0.6	0.81	-83.7430378	0.6	0.72	0.72	0.8	Ann Arbor	0.4	22.49	0.8	0.8	1
266	2.69	2.69	268.83	1762	1893	0.6	43.1	1.0	0.6	1.0	13	44.494887	0.6	0.6	0.72	11.3426163	0.6	0.72	0.72	0.8	Bologna	0.4	28.93	0.4	0.6	0
267	1.0	1.0	104.48	738	1328	0.6	78.9	0.6	0.6	1.0	15	41.716667	0.6	0.2	0.71	44.783333	0.44	0.72	0.72	0.4	Tbilisi	0.4	27.96	0.4	0.8	0
268	2.12	2.12	113.04	1100	1134	0.2	78.8	0.6	0.2	1.0	9	12.9276	0.8	1.0	0.66	100.8771	0.8	0.72	0.72	0.4	Pattaya	0.4	44.53	0.4	0.56	0
269	5.38	5.38	190.23	2133	3037	0.6	43.1	0.6	0.6	0.6	11	45.5796408	0.6	0.4	0.77	9.2059469	0.6	0.72	0.72	0.8	Monza	0.8	28.93	0.6	0.8	0
270	4.0	4.0	457.5	6905	3674	0.6	34	0.8	0.6	0.8	41	40.3439888	0.6	0.6	0.8	-74.6536368	0.8	0.72	0.72	0.8	Princeton	1.0	22.49	0.6	0.8	0
271	4.24	4.24	273.35	1973	2712	1.0	22.6	0.4	0.8	0.78	0	55.604981	0.8	0.6	0.8	13.003822	0.8	0.72	0.72	1	Malmo	0.4	12.33	0.8	1.0	0
272	2.12	2.12	63.51	1254	2271	0.2	78	0.6	0.2	1.0	5	31.9565783	0.6	0.2	0.68	35.9456951	0.6	0.72	0.72	0.4	Amman	0.8	44.49	0.0	0.6	0
273	5.91	5.91	480.48	2920	3735	1.0	21.2	0.0	1	0.8	32	62.4722284	0.6	1.0	0.82	6.149482	0.6	0.72	0.72	1	Aalesund	0.6	8.79	0.8	1.0	0
274	6.0	6.0	299.0	3327	3300	0.8	34	0.8	0.6	1.0	5	26.7153424	0.8	0.8	0.81	-80.0533746	1.0	0.72	0.72	0.8	West Palm Beach	0.4	22.49	0.8	0.6	0
275	2.69	2.69	268.83	1645	2143	0.6	42.4	0.6	0.8	1.0	13	54.6871555	1.0	0.44	0.75	25.2796514	0.6	0.71	0.71	0.8	Vilnius	0.4	19.95	0.8	0.8	0
276	10.03	10.03	816.49	4407	5381	0.8	21.8	0.6	0.8	1.0	25	46.1983922	0.8	0.8	0.87	6.1422961	0.6	0.71	0.71	1	Geneva	0.8	11.76	0.6	1.0	0
277	4.37	4.37	37.43	1827	2635	0.8	32.4	0.6	0.6	1.0	0	52.6368778	0.93	0.6	0.79	-1.1397592	0.8	0.71	0.71	0.8	Leicester	0.4	21.7	1.0	0.8	0
278	5.0	5.0	200.0	2420	3188	0.8	34	0.6	0.6	0.8	22	39.768403	0.6	0.8	0.78	-86.158068	0.4	0.71	0.71	0.8	Indianapolis	0.4	22.49	0.8	0.6	0
279	5.0	5.0	524.6	5914	3545	0.6	34	0.8	0.6	0.6	33	33.6738949	0.6	0.8	0.81	-112.1386422	0.8	0.71	0.71	0.8	Scottsdale	0.6	22.49	0.6	0.8	0
280	0.69	0.69	92.16	988	1330	0.4	66.1	0.6	0.2	0.38	3	3.139003	0.4	0.2	0.72	101.686855	0.2	0.71	0.71	0.6	Kuala Lumpur	1.0	46.57	0.0	0.6	0
281	4.9	4.9	590.48	2533	3312	0.8	34	0.6	0.6	0.6	20	36.1519752	0.8	0.6	0.82	-96.1581975	0.6	0.71	0.71	0.8	Tulsa	0.4	22.49	0.6	0.8	0
282	4.3	4.3	106.46	1495	2230	1.0	28.6	0.8	0.8	1.0	26	51.0504088	0.6	0.8	0.83	13.7372621	0.8	0.71	0.71	1	Dresden	0.4	14.8	0.8	1.0	0
283	6.45	6.45	161.3	2798	3282	1.0	22.5	0.6	0.8	0.8	28	53.270668	0.8	0.6	0.86	-9.0567905	0.8	0.71	0.71	1	Galway	0.4	12.4	1.0	0.82	0
284	3.23	3.23	262.38	1152	1937	0.8	55.9	0.4	0.4	0.6	9	38.2466395	0.6	0.6	0.73	21.734574	1.0	0.71	0.71	0.8	Patras	0.4	30.35	0.4	0.8	0
285	4.37	4.37	299.4	2813	2863	1.0	32.4	0.6	0.6	1.0	0	50.719164	0.6	0.8	0.81	-1.880769	0.8	0.71	0.71	0.8	Bournemouth	0.4	21.7	1.0	1.0	0
286	5.91	5.91	481.47	2212	3110	0.8	64	0.8	0.8	1.0	9	34.7071301	1.0	0.8	0.76	33.0226174	0.6	0.71	0.71	0.6	Limassol	0.6	18.26	0.6	1.0	0
287	3.78	3.78	95.57	1448	1763	0.6	70.8	0.4	0.6	0.8	7	18.466667	1.0	0.4	0.69	-69.95	1.0	0.71	0.71	0.6	Santo Domingo	0.4	27.9	0.8	0.4	0
288	5.0	5.0	570.0	6086	4879	0.8	34	1.0	0.6	1.0	9	37.7749295	1.0	0.8	0.83	-122.4194155	1.0	0.71	0.71	0.8	San Francisco	0.8	22.49	0.8	0.62	1
289	3.76	3.76	107.53	2417	2115	1.0	43.1	0.8	0.6	0.8	16	46.0700915	0.8	0.6	0.75	11.1197626	0.6	0.71	0.71	0.8	Trento	0.8	28.93	0.4	0.8	0
290	5.33	5.33	433.41	2017	2751	1.0	21.3	0.8	0.8	0.8	22	-45.8787605	0.6	0.8	0.83	170.5027976	0.8	0.71	0.71	1	Dunedin	0.4	10.01	1.0	1.0	0
291	7.5	7.5	400.0	4164	4317	1.0	34	1.0	0.6	0.8	32	38.9071923	0.8	0.8	0.79	-77.0368707	1.0	0.71	0.71	0.8	Washington	0.8	22.49	0.8	0.4	1
292	5.38	5.38	188.18	3802	3480	0.8	28.2	0.8	1	0.8	28	52.3838439	0.8	1.0	0.84	4.6428787	0.6	0.71	0.71	1	Haarlem	0.4	8.76	0.6	1.0	0
293	4.37	4.37	280.69	3011	3686	1.0	32.4	1.0	0.6	1.0	0	51.7520209	0.8	1.0	0.82	-1.2577263	0.8	0.71	0.71	0.8	Oxford	0.4	21.7	1.0	0.6	0
294	2.32	2.32	188.61	1469	1325	0.6	65	0.6	0.8	0.6	9	17.983333	1.0	0.2	0.67	-76.8	1.0	0.71	0.71	0.6	Kingston	0.6	12.45	0.0	0.4	1
295	3.51	3.51	147.71	1759	2469	1.0	23.8	1.0	0.8	1.0	0	49.183333	0.6	1.0	0.79	-122.85	0.4	0.71	0.71	1	Surrey	0.4	15.26	1.0	1.0	0
296	1.85	1.85	221.57	1198	2198	1.0	23.8	0.6	0.8	0.8	0	42.4048018	0.4	0.6	0.78	-82.1910376	0.4	0.71	0.71	1	Chatham	0.4	15.26	1.0	1.0	0
297	3.69	3.69	258.5	1804	2523	1.0	23.8	0.8	0.8	1.0	0	49.8997541	0.6	1.0	0.8	-97.1374937	0.4	0.71	0.71	1	Winnipeg	0.4	15.26	1.0	1.0	0
298	3.15	3.15	72.92	1153	1114	0.6	74.9	0.4	0.2	0.6	43	36.1000467	0.6	0.6	0.7	114.2060906	0.6	0.71	0.71	0.6	Anyang	0.4	80.96	0.2	0.6	0
299	4.84	4.84	393.57	2265	2881	1.0	18.8	0.8	1	1.0	25	60.2054911	0.8	0.8	0.84	24.6559001	0.8	0.71	0.71	1	Espoo	0.8	8.59	0.8	1.0	0
300	1.83	1.83	148.48	1112	2160	0.82	40.7	1.0	0.6	1.0	30	54.3520252	0.8	0.6	0.79	18.6466384	0.8	0.71	0.71	0.8	Gdansk	0.4	23.89	0.4	1.0	0
301	3.69	3.69	147.71	1751	2387	1.0	23.8	0.6	0.8	1.0	0	52.1332144	0.6	1.0	0.79	-106.6700458	0.4	0.71	0.71	1	Saskatoon	0.4	15.26	1.0	1.0	0
302	4.13	4.13	165.1	1136	2267	0.6	53.7	0.96	0.4	0.8	21	42.1354079	0.6	0.36	0.74	24.7452904	0.6	0.71	0.71	0.8	Plovdiv	0.4	34.46	0.4	0.8	0
303	7.0	7.0	200.0	2575	3634	1.0	34	0.6	0.6	1.0	6	19.7297222	0.8	0.8	0.83	-155.09	0.6	0.71	0.71	0.8	Hilo	0.8	22.49	0.8	1.0	1
304	1.21	1.21	304.7	839	1621	0.6	70.4	0.6	0.2	1.0	9	29.0729673	0.6	0.6	0.7	-110.9559192	0.6	0.71	0.71	0.6	Hermosillo	0.4	49.33	0.0	0.8	0
305	5.0	5.0	299.0	4400	4562	0.6	34	0.8	0.6	0.6	20	42.3600825	0.8	0.8	0.8	-71.0588801	0.6	0.71	0.71	0.8	Boston	0.8	22.49	0.8	0.8	1
306	1.53	1.53	124.45	682	1077	0.8	72	0.8	0.6	0.6	17	45.2671352	0.4	0.4	0.68	19.8335496	0.6	0.7	0.7	0.6	Novi Sad	0.6	27.6	0.6	0.6	0
307	4.3	4.3	350.28	2025	3001	1.0	18.8	1.0	1	0.8	20	60.4518126	0.6	0.6	0.8	22.2666303	0.6	0.7	0.7	1	Turku	0.8	8.59	0.8	1.0	0
308	2.15	2.15	268.83	1279	1681	0.8	42.4	0.4	0.8	0.6	32	54.8985207	0.6	0.4	0.72	23.9035965	0.6	0.7	0.7	0.8	Kaunas	0.6	19.95	0.8	0.6	0
309	4.06	4.06	221.57	1879	2400	1.0	23.8	0.6	0.8	0.8	0	44.3893556	0.2	0.8	0.77	-79.6903316	0.6	0.7	0.7	1	Barrie	0.6	15.26	1.0	0.8	0
310	2.91	2.91	256.38	1372	2259	0.4	65.3	0.6	0.4	1.0	13	-15.7942287	0.6	0.4	0.7	-47.8821658	0.2	0.7	0.7	0.6	Brasilia	0.4	32.62	0.8	0.6	0
311	6.72	6.72	547.06	2526	3325	0.8	43.1	0.6	0.6	1.0	15	44.6488366	0.8	0.8	0.76	10.9200867	0.6	0.7	0.7	0.8	Modena	0.8	28.93	0.4	1.0	0
312	1.21	1.21	1041.36	2292	2345	0.6	70.4	0.6	0.2	1.0	0	20.9172968	0.6	0.6	0.71	-100.7453642	0.6	0.7	0.7	0.6	San Miguel de Allende	0.8	49.33	0.0	0.8	0
313	4.37	4.37	124.75	2420	3178	0.8	32.4	0.6	0.6	0.8	0	52.6308859	0.6	1.0	0.79	1.297355	0.8	0.7	0.7	0.8	Norwich	0.4	21.7	1.0	0.8	0
314	4.25	4.25	103.4	1888	2535	0.0	23.8	0.6	0.8	0.8	0	50.454722	0.6	1.0	0.77	-104.606667	0.6	0.7	0.7	1	Regina	0.4	15.26	1.0	1.0	0
315	3.23	3.23	318.79	2023	2867	0.6	28.6	0.8	0.8	0.6	14	51.5078011	0.8	0.6	0.8	7.3301801	0.6	0.7	0.7	1	Dortmund	0.8	14.8	0.6	1.0	0
316	2.02	2.02	152.46	1059	2208	0.64	52.9	0.6	0.6	0.82	36	45.759722	0.4	0.2	0.73	21.23	1.0	0.7	0.7	0.8	Timisoara	0.4	24.29	0.42	0.8	1
317	4.37	4.37	274.45	2659	3178	0.8	32.4	1.0	0.6	1.0	0	51.481581	0.6	0.6	0.78	-3.17909	0.6	0.7	0.7	0.8	Cardiff	0.4	21.7	1.0	0.6	0
318	3.23	3.23	262.38	1761	2593	1.0	18.8	1.0	1	0.6	15	65.0126148	0.4	0.8	0.76	25.4714526	0.4	0.7	0.7	1	Oulu	0.4	8.59	0.8	0.8	0
319	6.0	6.0	249.0	2174	3152	1.0	34	0.8	0.6	0.6	46	34.7303688	0.4	0.6	0.81	-86.5861037	0.6	0.7	0.7	0.8	Huntsville	0.4	22.49	0.8	0.8	0
320	3.49	3.49	355.52	2082	2852	0.6	29	0.8	0.8	0.6	34	50.884089	0.6	0.6	0.79	4.6353905	0.6	0.7	0.7	1	Leuven	0.8	14.18	0.6	0.8	0
321	3.69	3.69	350.82	2483	3522	1.0	23.8	1.0	0.8	0.62	0	49.261226	0.6	1.0	0.77	-123.1139268	0.58	0.7	0.7	1	Vancouver	0.8	15.26	1.0	0.8	0
322	0.0	0.0	525.23	1560	1711	0.6	74.9	0.4	0.2	0.4	78	22.5167	0.4	0.4	0.69	113.3928	0.4	0.7	0.7	0.6	Zhongshan	0.4	80.96	0.2	0.6	0
323	1.1	1.1	164.9	958	1517	0.6	DotMap()	0.2	0.6	1.0	16	43.8562586	0.4	0.2	0.74	18.4130763	0.8	0.7	0.7	DotMap()	Sarajevo	0.4	28.45	0.0	0.6	0
324	4.37	4.37	185.88	1971	2655	0.8	32.4	0.4	0.6	0.6	0	54.597285	0.4	0.8	0.75	-5.93012	0.6	0.7	0.7	0.8	Belfast	0.4	21.7	1.0	0.6	0
325	2.69	2.69	193.56	1785	2334	0.6	43.1	0.6	0.6	0.8	12	45.8080597	0.6	0.4	0.72	9.0851765	0.6	0.7	0.7	0.8	Como	0.6	28.93	0.4	0.8	0
326	2.95	2.95	44.31	1826	2048	1.0	23.8	0.4	0.8	1.0	0	53.544389	0.4	0.6	0.76	-113.4909267	0.4	0.7	0.7	1	Edmonton	0.4	15.26	1.0	0.6	0
327	1.84	1.84	172.39	1483	866	0.6	78.8	0.4	0.2	0.8	0	8.0306534	0.6	0.4	0.7	98.8218095	0.4	0.7	0.7	0.4	Ao Nang	0.4	44.53	0.4	0.6	0
328	2.15	2.15	198.94	1798	2426	0.6	39.8	0.6	0.8	0.6	19	42.8157446	0.6	0.6	0.78	-1.7200615	0.6	0.7	0.7	0.8	Pamplona	0.4	19.92	0.6	0.8	0
329	3.76	3.76	346.34	2555	3155	0.6	29	0.8	0.8	0.8	67	0.0	0.6	0.6	0.81	0.0	0.8	0.7	0.7	1	Bruges	0.8	14.18	0.6	0.8	0
330	9.43	9.43	766.73	4097	4441	1.0	22.5	0.8	0.8	1.0	25	-12.4628271	0.8	0.8	0.86	130.8417772	0.8	0.7	0.7	1	Darwin	0.4	17.84	0.8	0.8	0
331	2.91	2.91	84.49	1092	2031	0.56	65.3	0.6	0.4	0.8	9	-22.9099384	0.6	0.6	0.7	-47.0626332	1.0	0.7	0.7	0.6	Campinas	0.4	32.62	0.8	0.6	0
332	7.5	7.5	250.0	4491	3966	1.0	34	1.0	0.6	0.8	16	41.0534302	0.6	1.0	0.79	-73.5387341	0.4	0.7	0.7	0.8	Stamford	0.4	22.49	0.8	0.0	1
333	3.4	3.4	680.65	4303	5452	0.62	44.5	0.64	0.4	0.8	6	25.2048	0.8	0.2	0.78	55.2708	0.43	0.7	0.7	0.8	Dubai	0.8	36.73	0.64	1.0	0
334	3.03	3.03	113.67	1153	1724	0.4	81	0.6	0.2	0.8	0	59.9342802	0.4	0.2	0.57	30.3350986	0.4	0.69	0.69	0.4	Saint Petersburg	1.0	49.03	0.64	0.58	0
335	5.91	5.91	235.14	3683	3325	0.8	21.2	0.6	1	0.8	0	69.6492047	0.8	0.6	0.79	18.9553238	0.8	0.69	0.69	1	Tromso	0.4	8.79	0.8	1.0	0
