	education	like	username	work	edu_str	cities	countries	followers	following
174			@liebergabor	['UI/UX Design', 'Startup Founder']		4	4	2	2
175			@ezequielmass			3	3	6	15
176		['Photography']	@herzflimmern			17	9	21	22
177			@miguelprieto			6	5	3	2
178			@jonchintanaroad			0	0	0	1
179			@peteranderson83			1	1	4	5
180			@alanbezanson			7	6	0	1
181			@anahenneberke			0	0	22	121
182			@dot_com	['Startup Founder']		11	7	0	4
183			@ioana			2	2	1	1
184			@jblemee	['Startup Founder']		13	7	4	4
185			@con10to	['Startup Founder']		9	7	19	34
186			@mirabangel			0	0	3	1
187			@gise11e			18	12	16	14
188			@thisiskenta			5	4	0	1
189			@babsmiles_			3	2	0	2
190			@ivan_brkljac			1	1	3	3
191			@cristymx			23	17	2	9
192			@juliendevoir	['Marketing']		8	6	14	16
193			@joseferrer			12	6	20	40
194		['Staying up late', 'Wine', 'Fitness', 'Outdoors', 'Diving', 'Surfing', 'Swimming', 'Tennis', 'Beach', 'Electronic music', 'Photography', 'Urbex']	@damiendutoit	['Web Dev', 'UI/UX Design', 'Creative']		30	5	5	5
195			@timmcgrath			24	8	10	12
196			@camille			18	7	2	3
197			@tarynabb			1	1	1	1
198			@darcythomas			3	3	2	2
199			@daniele			7	5	3	2
200		['Outdoors']	@tripscout	['Startup Founder']		3	2	2	3
201			@kylewailin			0	0	2	5
202			@miguelrore			3	1	1	1
203			@yangwao			12	7	12	15
204			@jakubtomanik	['Mobile Dev']		1	1	1	1
205			@bzamecnik	['Data']		44	18	4	7
206			@agermanidis			11	11	5	3
207			@timnieradzik	['Startup Founder']		1	1	5	9
208			@jmshome			17	14	1	1
209	['High School']		@ninoskopac	['Web Dev', 'Software Dev', 'Startup Founder', 'SaaS']	High School	19	11	10	10
210			@danielzehe			11	7	6	4
211			@codino	['Community']		3	1	43	130
212			@benn0r			3	3	2	2
213			@alexnomad			3	3	0	2
214			@fredfortier			6	3	2	1
215			@charlesdoole			17	13	4	6
216			@slimastomas			0	0	8	5
217			@alxsworld	['Startup Founder']		5	4	3	4
218	['High School']	['Waking up early', 'Tea', 'No alcohol', 'Hiking', 'Outdoors', 'Reading', 'Introvert']	@lonnylot	['Web Dev', 'Software Dev', 'Startup Founder', 'Crypto', 'Product Manager', 'SaaS']	High School	13	8	3	7
219			@dhunnapotha			0	0	5	25
220	"[""Bachelor's Degree""]"	['Samoyeds', 'Mexican food', 'Hiking', 'Climbing', 'Outdoors', 'Yoga', 'Cycling', 'Motorcycling', 'Extrovert', 'Beach', 'History', 'Photography', 'Cooking', 'Feminism', 'Progressive politics']	@satelliteeyes	['Web Dev', 'UI/UX Design', 'Startup Founder', 'Creative']	Bachelor's Degree	85	25	102	69
221			@garrettkocher			0	0	0	3
222			@kethle			20	15	10	16
223			@dschnurr			12	3	2	3
224	"[""Master's Degree""]"		@brucem80	['Architecture']	Master's Degree	16	13	6	10
225			@whosbacon	['Startup Founder', 'Data']		12	10	26	27
226			@colleran	['Startup Founder']		13	6	21	16
227			@dengorbachev			0	0	4	3
228	"['High School', ""Bachelor's Degree""]"	['Waking up early', 'Staying up late', 'Cats', 'Dogs', 'Coffee', 'Cocktails', 'Wine', 'Drinking alcohol', '420', 'Eating meat', 'Eating fish', 'Italian food', 'Hiking', 'Climbing', 'Outdoors', 'Surfing', 'Cycling', 'Fight sports', 'Reading', 'Extrovert', 'Introvert', 'Shopping', 'Electronic music', 'Photography', 'Backpacking', 'Partying', 'Conservative politics']	@davisonio	['Software Dev', 'Finance', 'Crypto', 'Education', 'Fitness', 'Marketing', 'Ecommerce', 'SaaS']	High School, Bachelor's Degree	1	1	17	33
229			@flaper87			83	35	5	3
230			@chmarti4			51	19	1	4
231	"[""Bachelor's Degree""]"		@vr10003		Bachelor's Degree	1	1	0	2
232			@greenwell	['Mobile Dev']		4	3	7	7
233			@dylanblanchard	['UI/UX Design']		0	0	7	3
234			@j0hnlucas	['Startup Founder', 'Product Manager', 'Community']		0	0	11	15
