	education	like	username	work	edu_str	cities	countries	followers	following
670			@petrnovak	['UI/UX Design']		5	2	8	6
671			@dapitts08			1	1	8	8
672		['Cats', 'Dogs', 'Samoyeds', 'Tea', 'Wine', 'Eating meat', 'Mexican food', 'Italian food', 'Chinese food', 'Fitness', 'Hiking', 'Climbing', 'Outdoors', 'Diving', 'Swimming', 'Motorcycling', 'Sailing', 'Skiing', 'Reading', 'Introvert', 'History', 'Movies', 'Photography', 'Cooking', 'Backpacking', 'Vanlife', 'Feminism', 'Progressive politics']	@wanderingdev	['Web Dev', 'Software Dev', 'Product Manager']		38	19	68	33
673		['Japanese food']	@largo			3	2	14	16
674		['Beer', 'Skiing']	@jpnarowski	['Startup Founder']		0	0	1	3
675			@davidmasciorini			0	0	2	3
676			@travlindicator	['Startup Founder', 'Data']		0	0	15	45
677		['Waking up early', 'Staying up late', 'Wine', 'Beer', 'Japanese food', 'Mexican food', 'Cycling', 'Extrovert', 'Introvert']	@yujin			31	13	0	1
678	"[""Bachelor's Degree""]"	['Cats', 'Dogs', 'Samoyeds', 'Tea', 'No alcohol', 'Eating meat', 'Eating fish', 'Vegetarian', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Yoga', 'Spiritual', 'Surfing', 'Swimming', 'Motorcycling', 'Sailing', 'Skiing', 'Extrovert', 'Beach', 'Documentaries', 'Philosophy', 'Acoustic music', 'Cooking', 'Dancing', 'Partying', 'Feminism', 'Progressive politics']	@simone_scarduzio	['Software Dev', 'Startup Founder', 'Finance', 'Data', 'Sales', 'Ecommerce', 'SaaS', 'Sports']	Bachelor's Degree	22	13	31	37
679			@jesperbylund			10	7	21	28
680			@hpeikemo	['Startup Founder']		0	0	11	9
681			@haiko	['Startup Founder']		6	6	23	26
682			@furkan			3	3	6	4
683			@jxodwyer			0	0	3	7
684			@tjwaldorf	['Startup Founder']		6	6	12	11
685			@omarmohameddev	['Mobile Dev']		7	6	3	24
686		['Beer']	@gillesm			0	0	7	3
687			@valfrancisco14	['Software Dev']		0	0	5	4
688			@adomasb	['Startup Founder', 'Sales']		5	4	9	6
689			@offshore			0	0	4	2
690			@sanna			3	2	2	5
691			@wwartsnews			0	0	0	3
692			@kaissi			17	6	7	8
693			@simonplend			10	4	4	2
694			@stefan	['Software Dev']		16	2	2	1
695			@taras			6	5	2	9
696			@adasnomad			1	1	2	3
697			@dv346			4	4	0	2
698			@ltsadvntr			13	10	1	1
699			@annasap			0	0	9	4
700			@amit29	['Startup Founder']		2	2	1	3
701		['Cats']	@nathanfulkerson	['Mobile Dev']		4	3	4	20
702			@joshnicholas			0	0	4	10
703		['Kitesurfing']	@drh	['Software Dev']		1	1	6	2
704			@marko	['Startup Founder']		8	8	4	18
705			@pb			13	6	0	1
706			@annececilie			2	2	0	1
707			@rmeskill			2	1	0	1
708			@minkylive			20	15	5	6
709			@reboramuriel			12	12	1	3
710			@doweig			0	0	13	7
711			@lev			4	3	4	6
712			@douglascorrea	['Startup Founder']		0	0	5	20
713			@dirtandrust	['Web Dev', 'Marketing']		12	9	8	3
714			@jackolai	['Startup Founder']		3	3	16	37
715			@elliotsachs	['Startup Founder']		6	4	3	11
716			@corytitus			1	1	5	7
717		['Beer']	@brian_dawn			0	0	0	2
718			@antoinebm			1	1	4	1
719			@nickbrooks	['Web Dev']		0	0	3	3
720			@flaki	['Community']		2	2	22	17
721			@mentisdominus			29	12	2	2
722			@wernerhoffmann	['Software Dev', 'Startup Founder']		4	4	3	3
723			@ryanthegiantlion			5	3	5	2
724			@jasonkd	['Marketing']		11	7	3	3
725			@nicolepoor			0	0	1	3
726			@nickpellant	['Web Dev', 'Software Dev', 'Crypto']		57	22	6	2
727			@callumstyan			15	9	6	3
728			@paske57			0	0	0	1
729			@petracca	['Startup Founder']		53	25	13	13
730			@hilary			5	3	4	2
731			@iansen			1	1	0	1
732			@abens			0	0	0	2
733			@smokeydokes			4	3	12	8
734			@wangyegp			1	1	1	6
735			@woutervr			32	20	8	15
736			@tamerkoseli			16	12	3	4
737			@zeljkocelikovic			3	2	1	4
738			@brendannee			2	2	2	4
739		['Vegan']	@aronbury			5	5	5	4
740			@thewinevagabond			45	23	8	6
741			@agammell			5	5	3	6
742			@danbelltweet			4	4	0	1
743			@sharon			7	7	36	17
744			@loukman			5	5	10	18
745			@cesartzian	['Startup Founder', 'Community', 'Marketing']		10	4	4	4
746			@jakegibson	['Startup Founder']		11	11	2	3
747			@robertkowalski			7	4	8	7
748			@rynesweeney			58	26	2	3
749			@kalakuo			2	2	4	14
750			@vladepap			11	7	4	5
751			@ellis_adam			20	10	0	2
752			@markentreibstoff	['Startup Founder', 'Fitness']		7	5	4	4
753			@tucksville			0	0	0	2
754		['Outdoors']	@andrewlinfoot	['Startup Founder']		0	0	5	10
755			@madhukaraphatak	['Data']		1	1	0	1
756			@thinkingsimon			0	0	0	2
757			@vadimrezvy			12	4	2	7
758			@movements_org			0	0	7	2
759			@ieatsalot	['Crypto']		6	4	14	16
760			@hannibalalpes			16	8	1	1
761			@rebeccacbowden	['Startup Founder', 'Marketing']		0	0	10	17
762			@digitaldima			0	0	0	1
763	"[""Bachelor's Degree""]"	['Staying up late', 'Beer', 'Drinking alcohol', 'Eating meat', 'Fitness', 'Skateboarding', 'Gaming', 'Movies', 'Backpacking']	@bjornftw	['Web Dev', 'Mobile Dev', 'UI/UX Design', 'Startup Founder', 'Finance', 'Creative', 'Support']	Bachelor's Degree	15	9	11	9
764			@abinashkumar013			0	0	0	1
765			@richietdesign			0	0	1	1
766			@ryzmen			0	0	4	4
767		['Writing']	@latinwriter			1	1	2	1
768			@suni349	['Software Dev']		0	0	1	1
769			@mayahub_org	['Startup Founder']		4	3	1	2
770			@tclonn2			0	0	0	1
771			@burner_rr			0	0	1	1
772			@kl_hoppers			0	0	1	1
773		['Diving']	@elvisbenkovic			3	1	0	1
774			@dirceo			0	0	3	1
775			@styxali			0	0	4	8
776			@peterssonsnar			0	0	1	1
777			@guifrombcn	['Startup Founder', 'Marketing']		0	0	4	4
778			@giotrotto	['Marketing']		0	0	3	2
779			@lilidaniel			2	2	2	1
780			@goatlady			0	0	2	2
781			@jurajkejs			0	0	3	1
782			@caophucnhat			0	0	1	1
783			@alexis_sindicic	['Startup Founder', 'Marketing']		4	4	2	2
784			@work_and_home			0	0	8	9
785			@ckomagan	['Startup Founder', 'Product Manager']		36	13	10	11
786			@skotchasee			0	0	0	1
787			@fearless_shweta			3	3	2	5
788			@abepetrillo			0	0	3	1
789			@sub2a			0	0	0	1
790			@trav_real			0	0	1	1
791			@jamesldamico	['Data', 'Marketing', 'Sales']		0	0	5	21
792			@violetia13			0	0	0	1
793			@semichinalex	['Startup Founder']		0	0	1	3
794			@zerocraic			4	4	1	1
795			@sonnysuberu			0	0	1	1
796			@pros22su	['Web Dev']		0	0	2	3
797			@kelciocajueiro			0	0	1	1
798			@ejang	['Startup Founder']		0	0	7	4
799			@stackptr			3	2	1	1
800			@robertniimi			0	0	1	1
801			@hussamelemmawi	['Mobile Dev']		0	0	1	2
802			@squirrelygirl			0	0	2	1
803	"[""Master's Degree""]"	['Staying up late', 'Coffee', 'Beer', 'Eating meat']	@zhurbinchik	['Web Dev']	Master's Degree	25	11	2	1
804			@alexeevs			0	0	4	6
805			@tommypalm			0	0	9	9
806			@darrillaga			0	0	1	1
807			@ar4mirez			0	0	1	3
808			@wells_b			0	0	0	1
809			@mattmc21			0	0	0	1
810			@guillelekos			4	4	1	1
811			@oitozero			0	0	9	24
812			@el_diegors			0	0	2	6
813			@aerenato			0	0	1	3
814			@arreechung	['Startup Founder', 'Creative']		1	1	1	2
815		['Surfing']	@anakova47			0	0	5	3
816			@cava_kantur			0	0	0	5
817			@whatdontyou			0	0	0	1
818			@lionelc54			0	0	1	3
819			@jeditweets	['Software Dev']		0	0	1	3
820			@apie			1	1	0	2
821			@fikretbekler			0	0	1	1
822			@isaac_almanzaj			0	0	10	61
823			@wsilva526			0	0	2	1
824			@josephmitchell			0	0	0	1
825			@andrewkalek			0	0	0	1
826			@chrissy_lew			2	2	0	1
827			@seekthecreative			3	3	2	1
828			@pdworznik			0	0	0	1
829			@quwoado7s3m8d5a			0	0	0	2
830			@reydisutandang	['Startup Founder']		0	0	2	2
831		['Waking up early', 'Cats', 'Dogs', 'Tea', 'Beer', 'Eating meat', 'Eating fish', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Hiking', 'Climbing', 'Outdoors', 'Spiritual', 'Swimming', 'Cycling', 'Gaming', 'Movies', 'Writing', 'Photography', 'Film making']	@mikejcarton	['Web Dev', 'Creative', 'Coach']		14	8	5	8
832	"[""Master's Degree""]"	['Cats', 'Wine', 'Drinking alcohol', 'Hiking', 'Swimming', 'Cycling', 'Reading', 'Beach', 'Philosophy', 'Backpacking']	@nico_lrx	['Web Dev', 'Startup Founder', 'Marketing', 'SaaS']	Master's Degree	6	6	27	154
833		['Cats']	@wlaurance			0	0	16	31
834			@winducan			0	0	0	1
835			@gastonj88			0	0	0	1
836			@jerigoround			2	2	1	2
837			@tombuildsstuff			23	11	10	8
838			@biogenic1			0	0	0	1
839			@chewx			32	15	4	4
840			@magnificent17			0	0	0	1
841			@bohdanbidak			0	0	0	1
842			@sirikor38331758			0	0	1	1
843			@benhourigan			12	8	3	4
844			@juliakhusainova			0	0	33	6
845		['Beer']	@c_hylland	['Education']		0	0	3	2
846			@ipaintcode			0	0	9	5
847			@larissamagno			0	0	0	1
848			@scottwpalmer	['Startup Founder']		0	0	0	2
849			@davpires	['Marketing']		0	0	14	8
850			@odlaner90			0	0	0	3
851			@maimlkh			0	0	0	1
852			@s_tigmatized			0	0	0	1
853			@antoinemeyer			0	0	0	1
854			@eugeniqa			0	0	2	2
855			@zagomatteogian	['Startup Founder']		0	0	7	5
856			@subsire			0	0	0	1
857			@edgarascom	['UI/UX Design']		0	0	3	5
858			@startupmanifest	['Startup Founder', 'Support']		0	0	0	1
859			@paykhan	['Software Dev']		0	0	1	4
860			@vit_lastovka			2	1	3	2
861			@coworkingnomad			4	4	0	1
862			@dragosnm	['Mobile Dev']		0	0	0	5
863			@nomadcitylpa	['Startup Founder']		1	1	40	51
864			@jogomartin	['Startup Founder']		2	2	2	3
865			@thegreenwildp			0	0	0	1
866			@rledreau	['Startup Founder']		0	0	2	1
867			@howmanynames			1	1	0	1
868			@luluisland	['Startup Founder', 'Product Manager']		0	0	4	5
869			@pavelrybako			0	0	0	1
870			@axshu			0	0	0	1
871			@agnetzia			0	0	0	2
872			@katenelson177			0	0	2	1
873			@rotemesunday1			0	0	4	4
874		['Writing']	@simplycrazyp	['Community', 'Marketing']		2	2	0	5
875			@panetes	['Startup Founder']		0	0	0	1
876			@rckstrrealtoraz			0	0	0	1
877			@ribeiroguto1798			0	0	1	1
878			@jehmitchioli			0	0	0	1
879			@chafullstack	['Community', 'Marketing']		0	0	1	8
880			@mejohnsonjr	['Marketing']		0	0	1	5
881			@nachex404			12	5	1	1
882			@saramr15			0	0	0	2
883			@5ee8688fa7e64c5			1	1	0	1
884			@activadesign	['Support']		0	0	0	1
885			@jonascoenen	['Startup Founder']		0	0	7	5
886			@daniel_tidmas			0	0	2	3
887			@lopespector			0	0	0	1
888			@cliffton_f			0	0	0	1
889			@individual8			9	5	8	3
890			@aungthiha3			0	0	3	1
891	"[""Master's Degree""]"	['Staying up late', 'Cats', 'Samoyeds', 'Beer', 'Eating meat', 'Sailing', 'Gaming', 'Movies', 'Electronic music', 'Progressive politics']	@far0s	['Web Dev', 'UI/UX Design']	Master's Degree	15	6	14	12
892			@mikeric	['Software Dev']		0	0	1	3
893			@djdroogie			0	0	1	2
894			@ronsuez	['Web Dev']		0	0	3	2
895		['Writing']	@perhakansson			0	0	15	4
896			@ahmedsamirr3			0	0	0	1
897			@stephsanderson	['Startup Founder']		0	0	1	2
898			@zirinisp			7	5	2	3
899			@weeckhout			2	1	0	1
900			@gbasgaard			0	0	7	7
901		['Waking up early', 'Cats', 'Dogs', 'Samoyeds', 'Coffee', 'Wine', 'Outdoors', 'Yoga', 'Surfing', 'Kitesurfing', 'Snowboarding', 'Fight sports', 'Extrovert', 'Beach', 'Documentaries', 'Philosophy', 'Acoustic music', 'Electronic music', 'Singing', 'Backpacking', 'Progressive politics']	@aileencgn	['Web Dev']		86	28	18	10
902			@adtrade_io			0	0	0	1
903			@laidyv2008			0	0	0	1
904			@pitah604	['Startup Founder']		4	2	0	3
905		['Tea', 'Coffee', 'Cocktails', 'Wine', 'Beer', 'Eating meat', 'Eating fish', 'Vegan', 'Vegetarian', 'Pescetarian', 'Japanese food', 'Hiking']	@tonyschmidt	['Web Dev', 'Software Dev']		15	9	8	17
906		['Waking up early', 'No alcohol', 'Fitness', 'Reading', 'Beach']	@cookiewhirls	['Startup Founder', 'Education', 'Fitness', 'Marketing', 'Sales', 'Sports']		12	9	8	9
907		['Dogs']	@jennaaaye			0	0	3	9
908			@msimm_offenburg	['Journalism', 'Blogging']		0	0	1	1
909			@travelfrogmd			8	4	2	2
910			@webdew	['Startup Founder']		5	3	1	4
911			@bmapilot			0	0	0	2
912			@kinolina	['Web Dev']		0	0	6	14
913			@jeroldday	['Software Dev']		0	0	4	2
914			@szkingiii			0	0	2	2
915			@soupdiver			0	0	10	11
916			@judychangs			1	1	1	3
917			@stevensanseau			8	4	6	8
918			@streetcredfred			0	0	3	2
919			@andrewdhobbs			0	0	3	1
920			@tim_gardner	['Startup Founder']		3	3	4	5
921		['Writing']	@breathingpoet			0	0	5	6
922			@serranoarevalo			11	11	6	2
923			@nevmerzhitsky			0	0	1	1
924			@slainewilley			0	0	0	1
925			@jamestolf			0	0	7	11
926			@yunhuangma			1	1	0	2
927			@fezvrasta			10	9	21	13
928			@fuerterisameda			0	0	1	2
929			@cristenger			0	0	3	4
930			@bob_silvey			0	0	5	5
931			@danieldcn			0	0	1	2
932			@_ryan_bartley_	['Marketing']		0	0	3	1
933			@harpermind			0	0	7	2
934	"[""Bachelor's Degree""]"	['Waking up early', 'Dogs', 'Wine', 'Crossfit', 'Outdoors', 'Spiritual']	@danielletdesign	['UI/UX Design', 'Education']	Bachelor's Degree	17	12	1	1
935			@jlipovsky	['Mobile Dev']		0	0	2	4
936			@chroman	['Mobile Dev']		1	1	6	11
937			@hazelyuyang	['UI/UX Design']		4	4	4	13
938			@tom_dallimore	['Startup Founder']		0	0	4	2
939			@perzegov	['Marketing']		0	0	1	2
940			@aluzgabriel			1	1	1	9
941			@mehmetulga			1	1	1	2
942			@ggt86			0	0	0	1
943			@hegaveitallup			1	1	0	1
944			@matyiii_			2	2	1	2
945			@davidsmandrade			1	1	1	4
946			@dij_plz	['Game Dev']		0	0	7	9
947			@marovturban			0	0	0	3
948			@kelonye			0	0	5	17
949			@mdnmadan	['Software Dev']		0	0	1	2
950			@madebyg			4	4	3	3
951			@thegreatsabri			3	3	5	6
952			@eliaz			0	0	0	2
953			@adriancardo			0	0	4	5
954			@bishal_ghimire			0	0	3	6
955			@sauerlo			0	0	2	1
956			@j_nomadedigital			0	0	1	4
957			@themadarch	['UI/UX Design']		1	1	7	9
958			@jagira			0	0	1	4
959			@aviatorfred			1	1	1	5
960			@bodaandroid	['Software Dev']		0	0	2	11
961		['Writing']	@jendienst			3	3	4	3
962			@anilca			0	0	2	1
963			@maesemalek			0	0	0	2
964			@owlandrews			0	0	1	2
965			@gogl92			0	0	2	2
966			@huangfuyafei			0	0	2	4
967			@mindofsari	['Startup Founder', 'Marketing']		0	0	1	1
968			@jaymierosen			0	0	6	12
969	"[""Master's Degree""]"	['No alcohol', 'Hiking', 'Swimming', 'Motorcycling', 'Sailing', 'Extrovert', 'Third Culture Kid', 'History', 'Philosophy']	@yliasm	['UI/UX Design', 'Startup Founder', 'Marketing']	Master's Degree	24	15	4	24
970	['High School']	['Staying up late', 'Cats', 'Coffee', 'Cocktails', 'Eating meat', 'Korean food', 'Japanese food', 'Hiking', 'Outdoors', 'Electronic music', 'Photography', 'Film making', 'Urbex']	@sup	['Web Dev', 'Crypto', 'Creative', 'Blogging', 'Marketing']	High School	7	1	4	9
971			@demoonkevin			2	2	1	5
972			@rpodyssey			0	0	9	5
973			@geomancer86			0	0	0	1
974			@markosulamagi			5	5	0	1
975			@thesmmile	['Marketing']		0	0	9	9
976			@emilyahaag			0	0	0	2
977			@sunnysided87928			0	0	0	2
978			@mukut			1	1	5	7
979		['Beer']	@ddpelayo	['Startup Founder']		2	2	4	10
980			@andreasrnnhanse			1	1	0	1
981			@medelon			16	9	2	1
982			@michellemaltbia	['Web Dev']		0	0	1	2
983		['Dogs', 'Writing']	@futurefallout			0	0	15	50
984			@melvinhoyk			0	0	3	8
985			@lkmfz			0	0	1	3
986			@sapiha			1	1	1	1
987		['Waking up early', 'Dogs', 'Coffee', 'Beer', 'Running', 'Football', 'Extrovert', 'Introvert', 'Documentaries', 'Partying']	@blombergvictor	['Web Dev', 'UI/UX Design', 'Startup Founder']		5	3	13	34
988			@wilczynski_a	['Mobile Dev']		6	4	4	5
989			@eulerianial	['Startup Founder']		7	7	4	2
990			@anyalake			5	4	2	2
991			@asgued			0	0	7	8
992		['Beer']	@johnny5feels	['Startup Founder']		0	0	8	5
993		['Photography']	@scotu			0	0	6	7
994			@timchardme	['Marketing']		0	0	6	9
995			@isservan			17	10	2	5
996			@cheeaun			0	0	36	63
997			@dotolo2			1	1	3	12
998	['High School']	['Waking up early', 'Dogs', 'Cocktails', 'Eating fish', 'Climbing', 'Diving', 'Skiing', 'Cooking']	@connor_baer	['Web Dev']	High School	12	6	7	16
999			@ajpanghulan			0	0	3	7
1000			@thekitze			31	14	95	20
1001	"[""Bachelor's Degree""]"	['Waking up early', 'Tea', 'Chinese food', 'Fitness', 'Outdoors', 'Diving', 'Surfing', 'Swimming', 'Running', 'Sailing', 'Football', 'Golf', 'Gaming', 'Beach', 'Movies']	@flowdee	['Web Dev', 'Software Dev', 'Mobile Dev', 'Startup Founder', 'Finance', 'Product Manager', 'Blogging', 'Fitness', 'Marketing', 'Ecommerce', 'SaaS', 'Sports']	Bachelor's Degree	10	5	9	8
1002		['Writing']	@luke_moa			2	1	0	1
1003			@anitastamova			0	0	0	2
1004			@nomadc_lucy			2	1	2	13
1005			@flaviokreis			0	0	0	1
1006			@nomadc_anna	['Mobile Dev', 'Startup Founder']		4	2	1	2
1007	"[""Bachelor's Degree""]"	['Tea', 'Coffee', 'Cocktails', 'Wine', 'Beer', 'No alcohol', 'Eating meat', 'Vegetarian', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Hiking', 'Outdoors', 'Snowboarding', 'Football', 'Reading', 'Gaming', 'Extrovert', 'Introvert', 'Third Culture Kid', 'Movies', 'Acoustic music', 'Electronic music', 'Writing', 'Photography', 'Feminism', 'Progressive politics', 'Centrist politics']	@tibzback	['Community', 'Marketing']	Bachelor's Degree	21	16	26	27
1008		['Diving']	@argovaerts			2	2	4	15
1009	"[""Bachelor's Degree"", ""Master's Degree""]"	['Waking up early', 'Tea', 'Outdoors', 'Beach', 'Photography']	@andykassier	['Software Dev', 'Startup Founder', 'Crypto', 'Creative', 'Marketing', 'Ecommerce']	Bachelor's Degree, Master's Degree	48	17	5	6
1010			@jvtrigueros			1	1	3	2
1011			@ladyleet	['Startup Founder']		35	16	79	29
1012			@tgurvicius			81	48	5	6
1013			@dnlhtz	['Startup Founder']		7	6	6	10
1014			@stormfarrell			25	10	5	5
1015			@sdrth_	['Startup Founder', 'Marketing']		1	1	8	14
1016			@hakimelekk			1	1	3	10
1017			@sarahpeterson			8	6	32	5
1018			@creativewang	['VR Dev']		1	1	10	24
1019		['Tea', 'No alcohol', 'Fitness', 'Hiking', 'Outdoors', 'Cycling', 'Sailing', 'Introvert', 'Philosophy', 'Photography', 'Urbex']	@deensel			43	20	6	2
1020			@mtjdotcom	['Data']		5	4	5	6
1021			@harrisroberts			58	34	12	21
1022			@albertbcn			0	0	0	10
1023			@gustavbraga			0	0	0	2
1024			@vaverava			0	0	1	3
1025			@stephanie_dxb	['Game Dev', 'Startup Founder']		9	5	14	32
1026		['Staying up late', 'Tea', 'Coffee', 'Cocktails', 'Wine', '420', 'Eating meat', 'Eating fish', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Reading', 'Documentaries', 'Philosophy', 'Movies', 'Acoustic music', 'Electronic music', 'Film making', 'Cooking', 'Singing', 'Partying', 'Progressive politics']	@davidmurray	['Startup Founder', 'Finance', 'Creative', 'Law']		17	14	2	4
1027			@bryanadkison			0	0	0	1
1028			@breinkind			2	2	1	2
1029			@nguyen_zick			0	0	1	1
1030			@luongj			24	10	5	2
1031			@boogich			3	2	0	1
1032			@tribespeople	['Startup Founder', 'Community']		0	0	12	11
1033			@jolly			4	2	17	10
1034			@heyellecp	['Startup Founder']		1	1	7	19
1035			@ctsygiel	['Startup Founder']		1	1	2	2
1036			@debris			47	28	11	10
1037			@geoffcrasher			2	1	0	6
1038			@wataru			1	1	2	6
1039			@magnuspaaske	['Software Dev', 'Startup Founder']		0	0	21	15
1040			@abhishek77in			2	2	2	4
1041			@halles	['Software Dev', 'Startup Founder']		7	4	10	18
1042			@trwiley			2	2	1	1
1043			@bradfordstorti			1	1	0	1
1044			@unicorndigital			0	0	2	1
1045			@namtng			6	5	1	2
1046			@jimbelden			0	0	0	3
1047			@r_y_a_n_w			0	0	0	1
1048			@zosiaswidlicka			4	4	2	4
1049			@xiufensilver			4	3	40	16
1050			@klein_stephane	['Web Dev', 'Software Dev']		0	0	5	14
1051			@netbe	['Mobile Dev']		13	8	5	6
1052		['Staying up late', 'Dogs', 'Tea', 'Coffee', 'Wine', 'Paleo', 'Eating meat', 'Eating fish', 'Hiking', 'Outdoors', 'Yoga', 'Swimming', 'Cycling', 'Motorcycling', 'Reading', 'Introvert', 'Beach', 'Philosophy', 'Photography', 'Cooking', 'Dancing', 'Urbex']	@matejsimek	['Web Dev', 'Startup Founder', 'Education']		7	5	5	5
1053			@nspehler	['Startup Founder']		12	9	21	147
1054		['Staying up late', 'Cats', 'Coffee', 'Beer', 'Drinking alcohol', 'Eating meat', 'Eating fish', 'Korean food', 'Japanese food', 'Chinese food', 'Football', 'Third Culture Kid', 'History', 'Writing', 'Photography']	@adamnowek	['Politics', 'Journalism', 'Blogging', 'Sports', 'Architecture']		200	30	16	18
1055			@jonnylroberts			2	2	1	2
1056		['Writing']	@petiepizarro	['Crypto']		14	3	4	6
1057			@alex_vt			8	5	2	1
1058			@saraboots			1	1	1	2
1059			@zpeirce	['Startup Founder']		32	16	5	2
1060			@jgargallo			3	2	1	3
1061		['Tea', 'Coffee', 'Cocktails', 'Drinking alcohol', 'Paleo', 'Eating meat', 'Mexican food', 'Yoga']	@sodevious	['Web Dev', 'UI/UX Design', 'Blogging']		28	8	68	39
1062			@debolux			0	0	0	1
1063			@ptrpavlik	['Mobile Dev']		1	1	10	9
1064			@bcicen			0	0	1	1
1065			@cmendes0101			44	19	5	2
1066			@weals	['Web Dev']		17	8	4	4
1067			@rkoldenhoven			3	3	0	2
1068			@martinqz			79	25	5	7
1069			@jeffermtl			1	1	1	2
1070	"['High School', ""Bachelor's Degree""]"	['Waking up early', 'Staying up late', 'Dogs', 'Tea', 'Coffee', 'Wine', 'Paleo', 'Vegetarian', 'Japanese food', 'Mexican food', 'Crossfit', 'Fitness', 'Hiking', 'Outdoors', 'Spiritual', 'Running', 'Cycling', 'Reading', 'Introvert', 'Third Culture Kid', 'Shopping', 'Documentaries', 'Movies', 'Writing', 'Cooking', 'Singing', 'Dancing', 'Feminism', 'Progressive politics']	@tla	['Data', 'Marketing']	High School, Bachelor's Degree	31	16	40	33
1071			@jamesd	['Web Dev']		0	0	6	4
1072		['Film making']	@aj_bombach	['Software Dev']		6	4	2	1
1073			@homsweethom			16	16	28	3
1074			@craigcarlyle	['Web Dev', 'Software Dev']		31	9	2	4
1075			@kengeo	['Startup Founder']		2	2	8	8
1076			@executivejoy	['Startup Founder']		3	3	1	1
1077			@nomadbubble			7	6	4	4
1078			@chris_fong	['Startup Founder', 'Marketing']		1	1	4	6
1079		['Outdoors']	@ignacio_elola	['Data']		0	0	3	2
1080			@piscolomo	['Software Dev']		60	33	21	15
1081	"[""Master's Degree""]"	['Waking up early', 'Staying up late', 'Dogs', 'Tea', 'Coffee', 'Cocktails', 'Wine', 'Beer', 'Drinking alcohol', 'Eating meat', 'Eating fish', 'Vegan', 'Vegetarian', 'Korean food', 'Japanese food', 'Mexican food', 'Chinese food', 'Fitness', 'Hiking', 'Climbing', 'Running', 'Motorcycling', 'Fight sports', 'Gaming', 'Extrovert', 'Introvert', 'Third Culture Kid', 'Beach', 'Documentaries', 'Philosophy', 'Movies', 'Acoustic music', 'Electronic music', 'Writing', 'Cooking', 'Dancing', 'Feminism', 'Progressive politics']	@kzaaaam	['Product Manager']	Master's Degree	10	5	14	12
1082			@playworking			0	0	9	8
1083			@jasonhatesjazz	['Software Dev', 'Product Manager']		6	5	8	31
1084		['Wine', 'Vegan']	@pixelcrash	['Software Dev']		3	3	6	6
1085			@sonja			1	1	4	3
1086			@vince_mac			3	3	0	1
1087			@jantlustak	['Startup Founder']		0	0	3	4
1088			@wordmonkey			3	3	0	1
1089	"[""Bachelor's Degree""]"	['Staying up late', 'Dogs', 'Samoyeds', 'Tea', 'Cocktails', 'Paleo', 'Eating meat', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Crossfit', 'Fitness', 'Reading', 'Introvert', 'Third Culture Kid', 'Beach', 'Shopping', 'History', 'Documentaries', 'Philosophy', 'Movies', 'Electronic music']	@mqt	['Web Dev', 'Software Dev', 'Mobile Dev', 'Crypto']	Bachelor's Degree	31	9	2	19
1090			@alfredo			1	1	0	7
1091			@byromxyz			0	0	1	1
1092			@joncottonuk	['Software Dev']		4	4	4	1
1093		['Wine']	@askleighstjohn	['Coach']		0	0	3	9
1094			@mexitalian			0	0	1	4
1095			@c4augustus	['VR Dev']		23	10	4	2
1096		['Surfing', 'Photography']	@stefanfeser			22	9	6	8
1097			@haroldtreen			1	1	4	7
1098	"[""Master's Degree""]"	['Waking up early', 'Dogs', 'Tea', 'Cocktails', '420', 'Eating meat', 'Korean food', 'Mexican food', 'Fitness', 'History', 'Documentaries', 'Movies', 'Electronic music', 'Cooking', 'Partying', 'Progressive politics']	@letalumil	['Web Dev', 'Software Dev', 'Mobile Dev', 'Fitness']	Master's Degree	24	12	3	7
1099			@kyebrewer2012			12	6	1	2
1100			@naguib			15	7	2	3
1101			@vinzius			8	8	4	2
1102			@swynt			59	31	2	1
1103		['Kitesurfing']	@spruce			3	2	8	18
1104		['Waking up early', 'Staying up late', 'Cats', 'Dogs', 'Coffee', 'Cocktails', 'Wine', 'Beer', '420', 'Paleo', 'Eating meat', 'Eating fish', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Fitness', 'Outdoors', 'Running', 'Motorcycling', 'Reading', 'Introvert', 'Beach', 'Philosophy', 'Movies', 'Electronic music', 'Writing', 'Cooking', 'Vanlife']	@janthony	['Web Dev', 'Software Dev']		1	1	1	3
1105		['Writing']	@lizzie	['Marketing']		1	1	1	1
1106			@danielletom			0	0	0	1
1107			@blured2000	['Software Dev']		6	4	4	7
1108			@mallorymcgowan			17	6	3	2
1109			@kks	['Marketing']		23	13	10	9
1110			@carlien	['Startup Founder']		4	3	2	3
1111		['Yoga']	@thomaspichon	['Startup Founder']		0	0	3	1
1112			@adusordet	['Startup Founder']		1	1	17	18
1113			@tmbeihl			4	2	1	3
1114			@julio			1	1	0	2
